forecast_time,alarm_time,forecast_kw,observed_kw,residual_kw,adaptive_threshold_kw,anomaly_score,severity,severity_level,root_cause,root_cause_confidence,title,recommendation,action,indoor_temp,outdoor_temp,humidity
2020-08-16 10:15:00,2020-08-16 10:45:00,65.16702270507812,43.96923828125,-21.197784423828125,8.268396377563477,2.563711686748461,CRITICAL,3,UNEXPLAINED LOAD,,Unexplained energy deviation,"The observed reduction cannot be explained by the monitored HVAC, MELS or lighting subsystems. Verify meter and sensor consistency and check for unexpected shutdowns.",Inspect metering and unmonitored loads.,25.050561904907227,25.594499588012695,42.18000030517578
2020-08-16 10:30:00,2020-08-16 11:00:00,64.57172393798828,53.36362075805664,-11.20810317993164,8.268396377563477,1.355535301905112,WARNING,1,UNEXPLAINED LOAD,,Unexplained energy deviation,"The observed reduction cannot be explained by the monitored HVAC, MELS or lighting subsystems. Verify meter and sensor consistency and check for unexpected shutdowns.",Inspect metering and unmonitored loads.,25.0895938873291,22.844499588012695,49.52000045776367
2020-08-16 10:45:00,2020-08-16 11:15:00,44.33285140991211,55.661502838134766,11.328651428222656,8.268396377563477,1.3701147007130992,WARNING,1,HVAC SOUTH,96.79173004707069,Unexpected HVAC consumption — South zone,"Inspect the South HVAC operating state, schedule and temperature setpoint.",Review HVAC South operation.,25.066062927246094,22.780500411987305,56.86000061035156
2020-08-16 12:15:00,2020-08-16 12:45:00,62.639400482177734,52.570655822753906,-10.068744659423828,8.268396377563477,1.217738506918421,WARNING,1,UNEXPLAINED LOAD,,Unexplained energy deviation,"The observed reduction cannot be explained by the monitored HVAC, MELS or lighting subsystems. Verify meter and sensor consistency and check for unexpected shutdowns.",Inspect metering and unmonitored loads.,24.917749404907227,28.805500030517578,33.72999954223633
2020-08-16 14:00:00,2020-08-16 14:30:00,58.91173553466797,48.79056930541992,-10.121166229248047,8.268396377563477,1.224078499273706,WARNING,1,UNEXPLAINED LOAD,,Unexplained energy deviation,"The observed reduction cannot be explained by the monitored HVAC, MELS or lighting subsystems. Verify meter and sensor consistency and check for unexpected shutdowns.",Inspect metering and unmonitored loads.,24.898157119750977,29.16699981689453,37.66999816894531
2020-08-16 14:30:00,2020-08-16 15:00:00,49.859169006347656,60.782772064208984,10.923603057861328,8.268396377563477,1.3211271640898625,WARNING,1,HVAC SOUTH,95.80910445454543,Unexpected HVAC consumption — South zone,"Inspect the South HVAC operating state, schedule and temperature setpoint. A large indoor–outdoor temperature difference is also present.",Review HVAC South operation.,24.978281021118164,33.611000061035156,24.309999465942383
2020-08-16 15:30:00,2020-08-16 16:00:00,56.84522247314453,66.50540161132812,9.660179138183594,8.268396377563477,1.168325597499989,WARNING,1,HVAC SOUTH,98.01510990736101,Unexpected HVAC consumption — South zone,"Inspect the South HVAC operating state, schedule and temperature setpoint.",Review HVAC South operation.,24.90399932861328,27.236000061035156,47.959999084472656
2020-08-16 18:15:00,2020-08-16 18:45:00,73.19355773925781,64.83401489257812,-8.359542846679688,8.268396377563477,1.0110234760108427,WARNING,1,UNEXPLAINED LOAD,,Unexplained energy deviation,"The observed reduction cannot be explained by the monitored HVAC, MELS or lighting subsystems. Verify meter and sensor consistency and check for unexpected shutdowns.",Inspect metering and unmonitored loads.,24.94499969482422,29.777999877929688,39.720001220703125
2020-08-16 18:45:00,2020-08-16 19:15:00,65.76117706298828,74.67668151855469,8.915504455566406,8.268396377563477,1.078262827331171,WARNING,1,HVAC SOUTH,96.74513985159717,Unexpected HVAC consumption — South zone,"Inspect the South HVAC operating state, schedule and temperature setpoint.",Review HVAC South operation.,24.9763126373291,29.25,44.880001068115234
2020-08-16 20:00:00,2020-08-16 20:30:00,77.04441833496094,66.72273254394531,-10.321685791015625,8.268396377563477,1.2483298235464142,WARNING,1,UNEXPLAINED LOAD,,Unexplained energy deviation,"The observed reduction cannot be explained by the monitored HVAC, MELS or lighting subsystems. Verify meter and sensor consistency and check for unexpected shutdowns.",Inspect metering and unmonitored loads.,25.02121925354004,27.291500091552734,50.470001220703125
